Team,Wins,League
New York Yankees,27,MLB
San Francisco Giants,8,MLB
Los Angeles Dodgers,6,MLB
St. Louis Cardinals,11,MLB
Oakland Athletics,9,MLB
Boston Red Sox,9,MLB
Detroit Tigers,4,MLB
Chicago Cubs,3,MLB
Cincinnati Reds,5,MLB
Atlanta Braves,3,MLB
Pittsburgh Pirates,5,MLB
Baltimore Orioles,3,MLB
Philadelphia Phillies,2,MLB
Minnesota Twins,3,MLB
Cleveland Indians,2,MLB
Chicago White Sox,3,MLB
New York Mets,2,MLB
Kansas City Royals,2,MLB
Houston Astros,1,MLB
Toronto Blue Jays,2,MLB
Miami Marlins,2,MLB
San Diego Padres,0,MLB
Texas Rangers,0,MLB
Arizona Diamondbacks,1,MLB
Los Angeles Angels,1,MLB
Washington Nationals,1,MLB
Milwaukee Brewers,0,MLB
Colorado Rockies,0,MLB
Tampa Bay Rays,0,MLB
Seattle Mariners,0,MLB
