Team,League,Wins
Virginia,NCAA,1
Villanova,NCAA,3
North Carolina,NCAA,6
Duke,NCAA,5
Connecticut,NCAA,4
Louisville,NCAA,3
Kentucky,NCAA,8
Kansas,NCAA,3
Florida,NCAA,2
Syracuse,NCAA,1
Maryland,NCAA,1
Michigan State,NCAA,2
Arizona,NCAA,1
UCLA,NCAA,11
Arkansas,NCAA,1
UNLV,NCAA,1
Michigan,NCAA,1
Indiana,NCAA,5
Georgetown,NCAA,1
North Carolina State,NCAA,2
Marquette,NCAA,1
UTEP,NCAA,1
Loyola,NCAA,1
Cincinnati,NCAA,2
Ohio State,NCAA,1
California,NCAA,1
San Francisco,NCAA,2
La Salle,NCAA,1
CCNY,NCAA,1
Holy Cross,NCAA,1
Oklahoma State,NCAA,2
Utah,NCAA,1
Wyoming,NCAA,1
Stanford,NCAA,1
Wisconsin,NCAA,1
Oregon,NCAA,1
